"doi","all_links"
"",""
"10.3389/feduc.2025.1596827",""
"10.3389/feduc.2025.1528083",""
"10.3389/feduc.2025.1611726",""
"10.3389/feduc.2025.1692383","https://osf.io/qy5du"
"10.3389/feduc.2025.1668078",""
"10.3389/feduc.2025.1632132","https://github.com/cl199393/predictive_analysis"
"10.3389/feduc.2025.1644378",""
"10.3389/feduc.2025.1693137",""
"10.3389/feduc.2025.1679209",""
"10.3389/feduc.2025.1652869",""
"",""
"",""
"10.3389/feduc.2025.1694074",""
"10.3389/feduc.2025.1639217",""
"10.3389/feduc.2025.1691148",""
"10.3389/feduc.2025.1634732",""
"10.3389/feduc.2025.1643452",""
"10.3389/feduc.2025.1655913",""
"10.3389/feduc.2025.1680396",""
"10.3389/feduc.2025.1621974",""
"10.3389/feduc.2025.1629192",""
"10.3389/feduc.2025.1683681",""
"10.3389/feduc.2025.1640780",""
"10.3389/feduc.2025.1666931",""
"10.3389/feduc.2025.1685102",""
"",""
"10.3389/feduc.2025.1606598",""
"10.3389/feduc.2025.1603754",""
"",""
"10.3389/feduc.2025.1613894","https://osf.io/zs9xe"
"10.3389/feduc.2025.1595770",""
"10.3389/feduc.2025.1677907",""
"10.3389/feduc.2025.1598693",""
"10.3389/feduc.2025.1710992",""
"10.3389/feduc.2025.1660557",""
"10.3389/feduc.2025.1551800",""
"",""
"10.3389/feduc.2025.1654809",""
"10.3389/feduc.2025.1661179","https://osf.io/p9f37/? view_only=3b1f6989129d4ed893aacaa0a7e58fde; https://osf.io/p9f37"
"10.3389/feduc.2025.1665226",""
"10.3389/feduc.2025.1659590",""
"10.3389/feduc.2025.1531651",""
"10.3389/feduc.2025.1668962",""
"10.3389/feduc.2025.1676887",""
"10.3389/feduc.2025.1681258",""
"10.3389/feduc.2025.1657547",""
"10.3389/feduc.2025.1639528",""
"10.3389/feduc.2025.1673900",""
"10.3389/feduc.2025.1677023",""
"10.1007/s11165-023-10116-7",""
"10.3389/feduc.2025.1634393",""
"10.3389/feduc.2025.1640288",""
"10.3389/feduc.2025.1607639",""
"10.3389/feduc.2025.1615020",""
"10.3389/feduc.2025.1655848",""
"10.3389/feduc.2025.1662887",""
"10.3389/feduc.2025.1613067",""
"10.3389/feduc.2025.1699106",""
"10.3389/feduc.2025.1675034",""
"10.3389/feduc.2025.1494413",""
"10.3389/feduc.2025.1645533",""
"10.3389/feduc.2025.1666839",""
"10.3389/feduc.2025.1623416",""
"10.3389/feduc.2025.1664249",""
"",""
"10.3389/feduc.2025.1669267",""
"10.3389/feduc.2025.1659431",""
"",""
"10.3389/feduc.2025.1697058",""
"10.3389/feduc.2025.1628614",""
"10.3389/feduc.2025.1647058",""
"",""
"10.3389/feduc.2025.1669353",""
